nct_id,sponsor_types,num_collaborators,countries,num_countries,lead_sponsor_type
NCT03261635,OTHER,0,,0,OTHER
NCT02262689,INDUSTRY,1,United States,1,INDUSTRY
NCT05207839,INDUSTRY,0,Switzerland,1,INDUSTRY
NCT01707277,OTHER,1,Spain,1,OTHER
NCT05897190,INDUSTRY,0,China,1,INDUSTRY
NCT00619320,OTHER;NIH,1,United States,1,OTHER
NCT01154621,INDUSTRY,0,United States,1,INDUSTRY
NCT05035121,OTHER,0,Taiwan,1,OTHER
NCT01149577,OTHER,0,India,1,OTHER
NCT01839279,INDUSTRY,0,United States,1,INDUSTRY
NCT01622725,OTHER;INDUSTRY,1,Belgium;Denmark;Poland;Spain;United Kingdom,5,OTHER
NCT02429830,INDUSTRY,0,United States,1,INDUSTRY
NCT02653976,INDUSTRY,0,Hong Kong;Japan;South Korea;Taiwan,4,INDUSTRY
NCT00601471,OTHER,1,United States,1,OTHER
NCT01218854,NIH,0,United States,1,NIH
NCT00596622,OTHER;NIH,1,United States,1,OTHER
NCT00183404,OTHER;NIH,1,United States,1,OTHER
NCT02935842,OTHER,0,Switzerland,1,OTHER
NCT01972529,INDUSTRY,0,United States;Argentina;Australia;Austria;Belgium;Brazil;Canada;Chile;China;France;Germany;Hungary;Italy;Poland;Portugal;South Korea;Spain;Taiwan;Thailand;United Kingdom,20,INDUSTRY
NCT01243086,OTHER,2,Canada,1,OTHER
NCT03544840,OTHER,1,United States,1,OTHER
NCT01814826,INDUSTRY,0,United States,1,INDUSTRY
NCT01413243,OTHER,0,Germany,1,OTHER
NCT02532621,INDUSTRY,0,United States,1,INDUSTRY
NCT00124800,OTHER,0,United States,1,OTHER
NCT04059367,INDUSTRY,0,United States,1,INDUSTRY
NCT00562003,OTHER;NIH,1,United States,1,OTHER
NCT00865904,INDUSTRY,0,United States;Belgium;Canada;Germany;Netherlands,5,INDUSTRY
NCT03607838,INDUSTRY,0,United States,1,INDUSTRY
NCT03211013,OTHER,0,United States,1,OTHER
NCT02982824,OTHER,0,Egypt,1,OTHER
NCT02053233,OTHER,0,South Korea,1,OTHER
NCT04834973,INDUSTRY,1,Australia,1,INDUSTRY
NCT03971097,OTHER;UNKNOWN,1,United States,1,OTHER
NCT01064791,INDUSTRY,0,United States;Argentina;Australia;Belgium;Brazil;Canada;Colombia;Denmark;Germany;Hungary;Netherlands;Portugal;South Korea;Sweden;United Kingdom,15,INDUSTRY
NCT02227290,INDUSTRY,0,United States;Dominican Republic;Honduras;Panama;Puerto Rico,5,INDUSTRY
NCT03043196,OTHER,0,India,1,OTHER
NCT02797080,INDUSTRY;OTHER,1,United States,1,INDUSTRY
NCT02933177,OTHER,0,France,1,OTHER
NCT01890785,INDUSTRY,0,United States,1,INDUSTRY
NCT05249374,INDUSTRY,0,China,1,INDUSTRY
NCT04003844,INDUSTRY,0,South Korea,1,INDUSTRY
NCT02082730,OTHER_GOV;OTHER,1,United Kingdom,1,OTHER_GOV
NCT00494195,OTHER;NIH,2,United States,1,OTHER
NCT04746391,OTHER,1,Belgium,1,OTHER
NCT00797836,OTHER,0,France,1,OTHER
NCT00137631,FED;OTHER,1,United States,1,FED
NCT01284036,INDUSTRY,0,United States,1,INDUSTRY
NCT02460536,OTHER,0,Israel,1,OTHER
NCT00423722,OTHER;NIH,2,United States,1,OTHER
NCT03890419,OTHER,0,United States,1,OTHER
NCT03737396,OTHER_GOV;UNKNOWN,1,Singapore,1,OTHER_GOV
NCT04217668,OTHER,0,Denmark,1,OTHER
NCT01418976,OTHER;FED,1,United States,1,OTHER
NCT02073318,OTHER,0,Taiwan,1,OTHER
NCT01791959,OTHER,0,,0,OTHER
NCT00785681,INDUSTRY,0,Brazil,1,INDUSTRY
NCT01094301,INDUSTRY,1,United States,1,INDUSTRY
NCT00857207,FED,0,United States,1,FED
NCT02168049,OTHER,0,United States,1,OTHER
NCT02739230,OTHER,0,,0,OTHER
NCT00877981,OTHER,2,Denmark;Sweden,2,OTHER
NCT03922607,INDUSTRY,0,United States,1,INDUSTRY
NCT00648037,OTHER,0,United States,1,OTHER
NCT01309360,OTHER,0,,0,OTHER
